,metric,pos_value,neg_value,pos_weight,avg_positive,avg_negative,Accuracy,Precision,Recall,AUC-ROC,F1-score,True Positive,True Negative,False Positive,False Negative,True Negative Rate (Specificity),Negative Predictive Value,False Positive Rate,False Discovery Rate
0,Chi squared,392.9133958967939,783.1966546600377,0.5,831.8821022727273,1377.762784090909,0.7755681818181818,0.6593406593406593,0.32085561497326204,0.8241345069766961,0.4316546762589928,60,486,31,127,0.9400386847195358,0.7928221859706363,0.059961315280464215,0.34065934065934067
1,Chi squared,392.9133958967939,783.1966546600377,1.0,831.8821022727273,1377.762784090909,0.7571022727272727,0.5289855072463768,0.7807486631016043,0.8241448504845933,0.6306695464362851,146,387,130,41,0.7485493230174082,0.9042056074766355,0.2514506769825919,0.47101449275362317
2,Chi squared,392.9133958967939,783.1966546600377,2.0,831.8821022727273,1377.762784090909,0.5951704545454546,0.3925438596491228,0.9572192513368984,0.8241448504845933,0.5567651632970451,179,240,277,8,0.46421663442940037,0.967741935483871,0.5357833655705996,0.6074561403508771
3,Chi squared,392.9133958967939,783.1966546600377,2.5,831.8821022727273,1377.762784090909,0.5369318181818182,0.36345776031434185,0.9893048128342246,0.8241448504845933,0.5316091954022989,185,193,324,2,0.3733075435203095,0.9897435897435898,0.6266924564796905,0.6365422396856582
4,Chi squared,392.9133958967939,783.1966546600377,3.0,831.8821022727273,1377.762784090909,0.4872159090909091,0.3400735294117647,0.9893048128342246,0.8241448504845933,0.506155950752394,185,158,359,2,0.3056092843326886,0.9875,0.6943907156673114,0.6599264705882353
5,Chi squared,392.9133958967939,783.1966546600377,3.5,831.8821022727273,1377.762784090909,0.4616477272727273,0.32978723404255317,0.9946524064171123,0.8241448504845933,0.49533954727030627,186,139,378,1,0.2688588007736944,0.9928571428571429,0.7311411992263056,0.6702127659574468
6,Chi squared,392.9133958967939,783.1966546600377,4.0,831.8821022727273,1377.762784090909,0.43607954545454547,0.31958762886597936,0.9946524064171123,0.8241448504845933,0.4837451235370611,186,121,396,1,0.23404255319148937,0.9918032786885246,0.7659574468085106,0.6804123711340206
7,Chi squared,392.9133958967939,783.1966546600377,5.0,831.8821022727273,1377.762784090909,0.40625,0.3090909090909091,1.0,0.8241448504845933,0.4722222222222222,187,99,418,0,0.19148936170212766,1.0,0.8085106382978723,0.6909090909090909
8,Chi squared,392.9133958967939,1210.1774599214561,0.5,831.8821022727273,1377.5667613636363,0.7755681818181818,0.6593406593406593,0.32085561497326204,0.8241241634687988,0.4316546762589928,60,486,31,127,0.9400386847195358,0.7928221859706363,0.059961315280464215,0.34065934065934067
9,Chi squared,392.9133958967939,1210.1774599214561,1.0,831.8821022727273,1377.5667613636363,0.7571022727272727,0.5289855072463768,0.7807486631016043,0.824134506976696,0.6306695464362851,146,387,130,41,0.7485493230174082,0.9042056074766355,0.2514506769825919,0.47101449275362317
10,Chi squared,392.9133958967939,1210.1774599214561,2.0,831.8821022727273,1377.5667613636363,0.5951704545454546,0.3925438596491228,0.9572192513368984,0.824134506976696,0.5567651632970451,179,240,277,8,0.46421663442940037,0.967741935483871,0.5357833655705996,0.6074561403508771
